team,elo,elo_peak,n_games,wins,losses,win_rate,last_league,last_game_date
Gen.G,1804.7,1804.7,115,85,30,0.739,LCK,2026-09-05
FENNEL,1803.1,1803.1,45,39,6,0.867,LJL,2026-08-05
Hanwha Life Esports,1732.5,1818.4,127,80,47,0.63,LCK,2026-09-05
Bilibili Gaming,1732.3,1837.0,169,120,49,0.71,LPL,2026-09-03
Karmine Corp,1731.9,1744.1,131,86,45,0.656,LEC,2026-09-05
LYON,1726.7,1784.0,104,66,38,0.635,LCS,2026-08-30
Team Secret Whales,1723.2,1723.2,102,72,30,0.706,LCP,2026-08-30
Rising Gaming,1715.7,1739.1,56,37,19,0.661,LJL,2026-06-14
Saigon Warriors,1695.7,1695.7,48,33,15,0.688,VCS,2026-06-20
Dplus Kia,1677.7,1748.3,142,80,62,0.563,LCK,2026-09-04
New Meta,1674.0,1674.0,69,43,26,0.623,LJL,2026-09-05
G2 Esports,1661.7,1768.3,124,81,43,0.653,LEC,2026-09-05
Team Liquid,1660.4,1693.9,90,56,34,0.622,LCS,2026-09-05
T1,1651.4,1815.7,142,90,52,0.634,LCK,2026-09-02
Ninjas in Pyjamas,1638.7,1638.7,87,51,36,0.586,LPL,2026-09-05
LØS,1633.6,1688.1,91,56,35,0.615,CBLOL,2026-08-29
Frank Esports,1627.5,1627.5,30,20,10,0.667,PCS,2026-08-18
CTBC Flying Oyster Academy,1617.9,1630.8,24,16,8,0.667,PCS,2026-09-05
Anyone's Legend,1604.2,1659.3,128,75,53,0.586,LPL,2026-09-04
Inferno Drive Tokyo,1603.9,1651.7,40,28,12,0.7,LJL,2026-04-19
LOUD,1600.5,1614.7,79,45,34,0.57,CBLOL,2026-08-29
SillySilly Gaming,1599.9,1632.4,32,21,11,0.656,PCS,2026-09-05
Arneb,1596.5,1666.7,57,34,23,0.596,LJL,2026-07-29
FURIA,1585.4,1672.8,74,44,30,0.595,CBLOL,2026-08-30
KT Rolster,1566.0,1622.8,106,50,56,0.472,LCK,2026-09-04
Team WE,1559.3,1595.5,122,50,72,0.41,LPL,2026-09-03
L Guide Gaming,1550.5,1614.7,62,32,30,0.516,LJL,2026-09-05
Cloud9,1549.1,1652.0,69,42,27,0.609,LCS,2026-09-05
VARREL YOUTH,1548.8,1564.5,25,13,12,0.52,LJL,2026-04-19
CTBC Flying Oyster,1547.7,1594.9,87,40,47,0.46,LCP,2026-08-30
Top Esports,1545.7,1682.7,135,73,62,0.541,LPL,2026-09-05
Invictus Gaming,1540.9,1540.9,104,45,59,0.433,LPL,2026-09-05
Uwinks,1540.9,1615.5,60,31,29,0.517,LJL,2026-08-11
LGD Gaming,1538.9,1582.8,88,40,48,0.455,LPL,2026-09-04
MVK Esports Academy,1536.9,1676.9,32,22,10,0.688,VCS,2026-05-28
GiantX,1533.8,1557.1,86,42,44,0.488,LEC,2026-09-05
