team,home_league,calibrated,title_%,finals_%,knockout_%
Gen.G,LCK,1974.6,40.1,63.6,92.3
Hanwha Life Esports,LCK,1933.2,23.1,47.2,87.9
Dplus Kia,LCK,1915.2,16.9,37.0,85.4
T1,LCK,1900.0,11.6,25.2,83.5
Bilibili Gaming,LPL,1857.0,4.7,12.5,75.3
Karmine Corp,LEC,1813.8,2.2,6.8,65.7
Top Esports,LPL,1740.2,0.4,2.2,47.5
G2 Esports,LEC,1730.3,0.3,1.7,45.3
JD Gaming,LPL,1704.3,0.2,1.0,39.1
Anyone's Legend,LPL,1698.5,0.1,0.9,36.7
Team Secret Whales,LCP,1660.3,0.1,0.4,28.5
Team Liquid,LCS,1694.5,0.1,0.8,36.0
Team Vitality,LEC,1609.0,0.0,0.1,18.1
CTBC Flying Oyster,LCP,1593.5,0.0,0.0,16.1
GAM Esports,LCP,1534.0,0.0,0.0,8.9
LYON,LCS,1683.1,0.0,0.6,33.8
